sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species
SAMN06685504	4482161	498	9000.32	88342	206	100	1	25362	55	15340	101	6217	189	SAMN06685504	Escherichia coli
SAMEA111351665	4566265	96	47565.26	414033	202	0	0	148541	10	84513	18	35255	35	SAMEA111351665	Escherichia coli
SAMN10040607	4420833	549	8052.52	111581	200	0	0	23122	57	14364	105	6306	193	SAMN10040607	Escherichia coli
SAMN15464724	4897571	82	59726.48	718427	200	0	0	227194	6	146077	11	74817	21	SAMN15464724	Escherichia coli
SAMN41340839	5175767	170	30445.69	327777	204	0	0	135530	12	71480	23	32904	44	SAMN41340839	Escherichia coli
SAMEA5876520	4787876	309	15494.74	209183	208	0	0	71058	20	45126	36	16492	70	SAMEA5876520	Escherichia coli
SAMN32964210	5479122	514	10659.77	252389	200	0	0	104236	18	68280	30	19021	59	SAMN32964210	Escherichia coli
SAMEA113542929	5007268	232	21583.05	237164	201	0	0	109977	16	58817	29	18948	59	SAMEA113542929	Escherichia coli
SAMEA5623238	5083586	157	32379.53	234173	202	0	0	119202	16	94427	25	31896	44	SAMEA5623238	Escherichia coli
SAMEA10301681	4938466	211	23405.05	366261	202	0	0	103120	15	61055	27	25859	51	SAMEA10301681	Escherichia coli
SAMN12324433	4435629	393	11286.59	89778	202	0	0	31906	47	17545	83	6466	164	SAMN12324433	Escherichia coli
SAMN31098672	5103382	144	35440.15	617343	202	0	0	193024	7	128057	13	57687	24	SAMN31098672	Escherichia coli
SAMEA6802128	4577747	116	39463.34	414073	202	0	0	176744	9	95286	16	39998	32	SAMEA6802128	Escherichia coli
SAMEA5786846	4958872	249	19915.15	258201	201	0	0	99099	18	65695	30	19955	60	SAMEA5786846	Escherichia coli
SAMN09382749	5605297	424	13220.04	375680	203	100	1	156930	11	79898	21	15940	48	SAMN09382749	Escherichia coli
SAMN04447593	5370339	398	13493.31	254329	200	100	1	73077	24	35689	45	9941	97	SAMN04447593	Escherichia coli
SAMN16787503	5104308	78	65439.85	787965	200	0	0	308312	6	179415	10	86645	18	SAMN16787503	Escherichia coli
SAMEA115471889	4926091	93	52968.72	550078	224	0	0	199491	8	130453	14	60833	25	SAMEA115471889	Escherichia coli
SAMN13153230	4961624	82	60507.61	336462	209	0	0	174426	11	122389	17	77589	27	SAMN13153230	Escherichia coli
SAMN13337160	5222083	240	21758.68	319030	208	0	0	92155	15	64213	29	18192	58	SAMN13337160	Escherichia coli
SAMN27009858	4628020	418	11071.82	95231	201	0	0	31765	45	18206	82	6481	164	SAMN27009858	Escherichia coli
SAMN12768846	5086301	161	31591.93	281159	202	0	0	94704	17	76687	28	26244	51	SAMN12768846	Escherichia coli
SAMN10821418	5203002	153	34006.55	517568	200	0	0	222661	8	104377	16	33583	32	SAMN10821418	Escherichia coli
SAMN30413920	5084587	233	21822.26	239196	202	0	0	106673	17	60182	30	18907	58	SAMN30413920	Escherichia coli
SAMN13019800	5203713	97	53646.53	548526	202	0	0	217695	8	144660	13	53613	24	SAMN13019800	Escherichia coli
SAMEA5663144	4620634	171	27021.25	243450	204	0	0	105791	15	61547	27	31136	47	SAMEA5663144	Escherichia coli
SAMN15594704	4985228	428	11647.73	376286	200	0	0	89074	18	56683	33	16609	64	SAMN15594704	Escherichia coli
SAMEA8743324	4375085	570	7675.59	90163	200	0	0	26127	50	14683	94	5338	192	SAMEA8743324	Escherichia coli
SAMN15052563	5225474	409	12776.22	500763	200	0	0	174541	9	84113	18	30320	36	SAMN15052563	Escherichia coli
SAMN35654573	5202321	168	30966.2	397810	212	0	0	168750	11	87562	19	32317	37	SAMN35654573	Escherichia coli
SAMN14490903	5198655	326	15946.79	124988	208	0	0	38632	41	22623	76	9893	143	SAMN14490903	Escherichia coli
SAMN05604774	5276127	342	15427.27	467991	201	0	0	134860	12	90584	22	18904	48	SAMN05604774	Escherichia coli
SAMEA5161525	5156734	149	34608.95	813449	213	0	0	183360	8	98713	16	47328	30	SAMEA5161525	Escherichia coli
SAMN26304828	5367051	241	22269.92	390222	207	0	0	129699	12	77193	22	36063	43	SAMN26304828	Escherichia coli
SAMN07450911	5356795	355	15089.56	250037	202	100	1	124085	16	67307	27	15850	57	SAMN07450911	Escherichia coli
SAMN25849949	4951301	110	45011.83	617882	217	0	0	193104	8	107972	16	39399	31	SAMN25849949	Escherichia coli
SAMN05275913	5105195	121	42191.69	502560	208	0	0	142577	10	76575	20	42098	36	SAMN05275913	Escherichia coli
SAMN09227618	5314533	308	17254.98	374980	201	0	0	124049	14	66612	26	26845	50	SAMN09227618	Escherichia coli
SAMEA4744050	4831974	140	34514.1	289967	200	0	0	132864	13	86612	21	31133	40	SAMEA4744050	Escherichia coli
SAMN05596195	4932954	156	31621.5	289615	207	0	0	90598	16	47841	30	21126	59	SAMN05596195	Escherichia coli
SAMN13837109	5270399	200	26351.99	559231	200	0	0	159050	11	109929	20	29965	36	SAMN13837109	Escherichia coli
SAMEA12999588	5504776	188	29280.72	656851	201	0	0	173210	9	98261	17	36321	36	SAMEA12999588	Escherichia coli
SAMN07514605	5529659	379	14590.13	260162	200	100	1	96551	17	51653	32	13554	68	SAMN07514605	Escherichia coli
SAMN35326545	4551727	528	8620.7	89840	200	0	0	32386	45	19743	82	6348	164	SAMN35326545	Escherichia coli
SAMN07540313	5553141	315	17629.02	361014	201	0	0	133926	14	69781	26	15989	57	SAMN07540313	Escherichia coli
SAMN14503227	4945365	122	40535.78	520195	205	0	0	184923	9	108904	16	42647	29	SAMN14503227	Escherichia coli
SAMEA4644912	4816287	108	44595.25	399552	200	0	0	157060	11	99134	18	40431	33	SAMEA4644912	Escherichia coli
SAMN41330186	4954665	196	25278.9	364510	206	0	0	92100	16	61416	30	25473	54	SAMN41330186	Escherichia coli
SAMN10458612	5626989	512	10990.21	292678	200	0	0	96349	18	55181	33	11232	70	SAMN10458612	Escherichia coli
SAMN41055373	5115526	280	18269.74	311281	208	0	0	126344	13	69475	23	23248	50	SAMN41055373	Escherichia coli
SAMN08963257	5286030	303	17445.64	360159	200	100	1	123928	14	83028	25	20989	50	SAMN08963257	Escherichia coli
SAMN32147071	4586724	133	34486.65	313038	200	0	0	132676	12	88560	20	35295	37	SAMN32147071	Escherichia coli
SAMN26939224	5260270	111	47389.82	450703	239	0	0	271670	7	129161	14	62548	25	SAMN26939224	Escherichia coli
SAMN20966991	4952247	86	57584.27	526854	214	0	0	261167	7	161617	12	61402	21	SAMN20966991	Escherichia coli
SAMN38856884	5665157	423	13392.81	270441	200	0	0	94996	18	50641	34	21203	66	SAMN38856884	Escherichia coli
SAMN00854652	4827063	201	24015.24	226848	201	0	0	92244	17	62693	30	26190	53	SAMN00854652	Escherichia coli
SAMEA110008741	4422095	453	9761.8	80637	201	0	0	28526	50	15594	90	5584	183	SAMEA110008741	Escherichia coli
SAMEA5611871	4790281	194	24692.17	494588	211	0	0	125143	12	92025	21	37663	37	SAMEA5611871	Escherichia coli
SAMN31972884	5176691	448	11555.11	484460	201	0	0	168634	11	111925	19	36279	35	SAMN31972884	Escherichia coli
SAMN05606871	5485111	362	15152.24	328991	202	100	1	124406	14	78661	25	16123	55	SAMN05606871	Escherichia coli
SAMEA104060784	5352272	138	38784.58	580529	201	100	1	172192	10	115058	18	32947	33	SAMEA104060784	Escherichia coli
SAMN41273553	5363813	470	11412.37	199674	201	0	0	91931	19	46514	37	14820	73	SAMN41273553	Escherichia coli
SAMEA10300993	4883128	94	51948.17	1253334	200	0	0	366965	4	162553	9	47455	21	SAMEA10300993	Escherichia coli
SAMN41464949	5108569	172	29700.98	395580	202	0	0	147896	10	106426	18	37148	35	SAMN41464949	Escherichia coli
SAMEA5422619	5266914	74	71174.51	863416	202	0	0	283038	5	214896	9	101924	16	SAMEA5422619	Escherichia coli
SAMN38200028	5390767	457	11795.99	325097	200	0	0	129700	13	70779	25	17365	51	SAMN38200028	Escherichia coli
SAMN41155881	4736693	552	8580.97	88266	201	0	0	24420	60	14553	109	5069	213	SAMN41155881	Escherichia coli
SAMN41339754	5097325	196	26006.76	329482	200	0	0	106130	14	68909	26	29465	48	SAMN41339754	Escherichia coli
SAMN09866919	4721797	203	23260.08	256727	200	0	0	64006	22	36553	43	17417	78	SAMN09866919	Escherichia coli
SAMN41200191	4790711	211	22704.79	292588	200	0	0	93352	17	48371	30	17005	59	SAMN41200191	Escherichia coli
SAMEA110471261	5487954	603	9101.08	210639	200	0	0	88145	20	42696	40	9314	87	SAMEA110471261	Escherichia coli
SAMN09738611	5414440	312	17353.97	375707	200	100	1	148495	11	92291	20	30399	41	SAMN09738611	Escherichia coli
SAMEA7177437	4787443	178	26895.75	289652	200	0	0	94975	15	63174	28	31070	49	SAMEA7177437	Escherichia coli
SAMN10279816	5256488	269	19540.85	282193	201	100	1	150145	13	75507	24	26511	46	SAMN10279816	Escherichia coli
SAMN41046061	4867384	560	8691.76	79780	201	0	0	23425	60	14028	114	4856	227	SAMN41046061	Escherichia coli
SAMN41452883	5196380	159	32681.64	534498	203	0	0	248589	8	185121	13	36023	23	SAMN41452883	Escherichia coli
SAMN42371317	5070197	295	17187.11	394054	200	0	0	226585	9	133557	15	43897	27	SAMN42371317	Escherichia coli
SAMN26304818	5022473	76	66085.17	805904	212	0	0	323238	5	216074	9	113614	16	SAMN26304818	Escherichia coli
SAMN06458189	4748829	535	8876.32	84771	210	100	1	27362	54	15331	100	5130	196	SAMN06458189	Escherichia coli
SAMN32784403	5045872	134	37655.76	342493	201	0	0	195769	10	113205	17	57047	29	SAMN32784403	Escherichia coli
SAMN28743565	5013178	327	15330.82	153963	202	0	0	40470	38	25889	68	10561	129	SAMN28743565	Escherichia coli
SAMN08519220	5237886	75	69838.48	977262	255	0	0	285300	5	184205	10	50478	21	SAMN08519220	Escherichia coli
SAMN37006456	4984237	298	16725.63	284111	202	0	0	66426	23	37854	43	14589	83	SAMN37006456	Escherichia coli
SAMN41769537	5275955	486	10855.87	240522	200	0	0	75666	21	41936	40	11231	84	SAMN41769537	Escherichia coli
SAMN19777085	4886928	166	29439.33	301323	208	0	0	128941	12	100501	20	32479	37	SAMN19777085	Escherichia coli
SAMD00064357	5649413	528	10699.65	230454	204	200	2	76018	23	42184	43	8757	93	SAMD00064357	Escherichia coli
SAMN20769344	5517906	466	11841.0	245046	200	0	0	123466	17	81388	29	20240	55	SAMN20769344	Escherichia coli
SAMN06308685	5519141	404	13661.24	288958	203	0	0	101082	18	48559	33	12273	70	SAMN06308685	Escherichia coli
SAMN38414531	5451636	272	20042.78	431757	215	0	0	117991	16	70454	28	31220	51	SAMN38414531	Escherichia coli
SAMEA8811156	4465112	542	8238.21	88311	202	0	0	23465	57	13983	106	5055	206	SAMEA8811156	Escherichia coli
SAMN42378119	5387290	569	9468.0	199317	200	0	0	72749	22	45881	41	12696	80	SAMN42378119	Escherichia coli
SAMEA5185626	5256764	134	39229.58	777871	202	0	0	201526	7	104366	14	42418	29	SAMEA5185626	Escherichia coli
SAMN32739514	5091551	146	34873.64	309009	226	0	0	99893	17	61751	30	31771	51	SAMN32739514	Escherichia coli
SAMEA13790027	4679104	159	29428.33	395628	210	0	0	95590	14	62123	27	28542	48	SAMEA13790027	Escherichia coli
SAMN31988516	5325877	180	29588.21	414740	207	0	0	272314	8	134839	14	40177	28	SAMN31988516	Escherichia coli
SAMN09284894	4563705	538	8482.72	88226	204	0	0	22381	59	12802	111	4625	219	SAMN09284894	Escherichia coli
SAMN15150498	4858123	190	25569.07	424025	206	0	0	146393	12	84296	21	24921	43	SAMN15150498	Escherichia coli
SAMN27524980	5525558	598	9240.06	215665	200	0	0	76390	23	44376	41	10157	90	SAMN27524980	Escherichia coli
SAMN19242097	4690100	112	41875.89	246187	200	0	0	110778	14	76997	24	38592	42	SAMN19242097	Escherichia coli
SAMN06006204	4357932	595	7324.26	69823	201	0	0	19149	68	11259	128	4430	248	SAMN06006204	Escherichia coli
SAMN08379502	4530832	480	9439.23	88935	204	300	3	25362	53	15340	100	6217	190	SAMN08379502	Escherichia coli
SAMN13616465	5477227	440	12448.24	323147	201	0	0	127258	13	62898	25	15097	59	SAMN13616465	Escherichia coli
SAMN16960786	5451524	460	11851.14	267584	201	0	0	74643	22	43246	42	11760	82	SAMN16960786	Escherichia coli
SAMEA1030022	4644593	522	8897.69	88199	201	0	0	23265	58	12920	112	4721	223	SAMEA1030022	Escherichia coli
SAMN15077030	4970612	70	71008.74	1218375	202	0	0	324492	5	238612	8	72509	15	SAMN15077030	Escherichia coli
SAMEA115372136	5156924	461	11186.39	113899	204	0	0	24294	61	14584	115	6375	219	SAMEA115372136	Escherichia coli
SAMN20748587	5250224	329	15958.13	260397	201	0	0	96661	16	58083	29	28520	54	SAMN20748587	Escherichia coli
SAMN27352451	5568045	338	16473.51	280649	202	0	0	146408	13	77855	24	23303	49	SAMN27352451	Escherichia coli
SAMN06767279	5518498	176	31355.1	435530	202	0	0	145324	12	79576	22	27661	46	SAMN06767279	Escherichia coli
SAMN04158610	4948352	274	18059.68	113868	201	300	3	46493	37	26004	67	10256	126	SAMN04158610	Escherichia coli
SAMN06463931	4623870	552	8376.58	110041	200	0	0	23752	57	14364	105	6113	198	SAMN06463931	Escherichia coli
SAMEA5970175	5146302	158	32571.53	358071	213	0	0	128237	12	77044	22	37083	42	SAMEA5970175	Escherichia coli
SAMEA6813717	4513014	129	34984.6	409724	207	0	0	126073	12	80694	21	29812	41	SAMEA6813717	Escherichia coli
SAMEA112275402	5478953	382	14342.81	374973	201	0	0	145614	13	78144	23	20011	49	SAMEA112275402	Escherichia coli
SAMN22822142	5385726	327	16470.11	667218	200	0	0	229829	9	116085	16	38134	33	SAMN22822142	Escherichia coli
SAMN20065094	5656601	379	14925.07	345946	202	0	0	111121	14	65841	27	21708	55	SAMN20065094	Escherichia coli
SAMN26309282	5163560	90	57372.89	578443	200	0	0	295065	7	174411	11	71139	20	SAMN26309282	Escherichia coli
SAMN31034527	4943948	71	69633.07	1065349	202	0	0	389187	4	312772	7	142136	12	SAMN31034527	Escherichia coli
SAMN11466968	5445128	340	16015.08	412419	200	0	0	188430	10	93148	18	28686	38	SAMN11466968	Escherichia coli
SAMN09870189	5706111	494	11550.83	234566	200	100	1	67930	27	40853	49	10468	100	SAMN09870189	Escherichia coli
SAMN12684757	5427178	325	16699.01	375267	200	0	0	184324	11	105603	19	26324	39	SAMN12684757	Escherichia coli
SAMN08332720	5384205	145	37132.45	392074	228	0	0	127185	12	71032	23	28694	46	SAMN08332720	Escherichia coli
SAMN16063469	5271220	315	16734.03	396120	200	0	0	169456	10	87861	20	26476	41	SAMN16063469	Escherichia coli
SAMN25050067	4739312	188	25209.11	247754	206	0	0	89578	19	52486	32	22449	60	SAMN25050067	Escherichia coli
SAMN40559723	5419048	408	13281.98	334700	200	0	0	140665	14	73313	26	12173	60	SAMN40559723	Escherichia coli
SAMN20713046	4907045	376	13050.65	150831	200	0	0	55024	29	31262	54	10607	102	SAMN20713046	Escherichia coli
SAMN09725147	5015903	111	45188.32	486306	229	0	0	149024	11	88947	20	40925	35	SAMN09725147	Escherichia coli
SAMN26426941	5079659	231	21989.87	356916	200	0	0	115728	14	86460	24	18550	48	SAMN26426941	Escherichia coli
SAMEA5075897	5263085	381	13813.87	136231	201	0	0	38817	42	25210	76	10311	135	SAMEA5075897	Escherichia coli
SAMEA5377523	5230946	187	27972.97	262986	212	0	0	113182	17	72298	28	21778	52	SAMEA5377523	Escherichia coli
SAMEA110355640	5194637	574	9049.89	132626	201	0	0	31474	48	18764	90	6606	169	SAMEA110355640	Escherichia coli
SAMN17128990	4573013	503	9091.48	137625	201	0	0	30555	43	17903	82	5994	165	SAMN17128990	Escherichia coli
SAMEA6832488	4841967	235	20604.11	237087	200	0	0	72599	21	46841	37	23971	67	SAMEA6832488	Escherichia coli
SAMN09060822	5345760	171	31261.75	777451	200	0	0	141387	10	78241	20	30482	38	SAMN09060822	Escherichia coli
SAMN16853733	5586971	390	14325.57	374165	200	0	0	184501	11	95010	19	35470	37	SAMN16853733	Escherichia coli
SAMN12943680	5033446	347	14505.61	225913	201	0	0	71146	23	38836	42	12959	81	SAMN12943680	Escherichia coli
SAMN30811720	5363591	354	15151.39	321451	200	0	0	109634	15	58427	28	19724	57	SAMN30811720	Escherichia coli
SAMN12731742	5310373	148	35880.9	543425	233	0	0	167014	9	113428	17	46407	30	SAMN12731742	Escherichia coli
SAMN05439344	4896867	112	43722.03	542191	209	0	0	155829	11	120543	18	38910	31	SAMN05439344	Escherichia coli
SAMN17165757	4431964	121	36627.8	268242	220	0	0	92837	16	63451	28	32711	47	SAMN17165757	Escherichia coli
SAMN41330345	4829879	257	18793.3	192907	221	0	0	44099	30	21760	61	9555	123	SAMN41330345	Escherichia coli
SAMEA7457258	5538805	212	26126.44	398258	205	0	0	177486	11	90779	21	33236	39	SAMEA7457258	Escherichia coli
SAMN39748286	5344498	188	28428.18	380053	202	0	0	148151	11	93774	20	41422	37	SAMN39748286	Escherichia coli
SAMN33413431	4856981	602	8068.07	108910	204	0	0	25362	57	15224	107	5540	206	SAMN33413431	Escherichia coli
SAMN10875453	5086056	137	37124.5	634046	201	0	0	278958	7	185457	11	52239	20	SAMN10875453	Escherichia coli
SAMEA111482611	5121403	321	15954.53	261830	200	0	0	83029	19	59774	33	16711	64	SAMEA111482611	Escherichia coli
SAMN36729093	5289241	161	32852.43	439809	226	0	0	253851	8	152073	14	42075	27	SAMN36729093	Escherichia coli
SAMN34264238	5534176	502	11024.25	324560	200	0	0	104181	18	55191	32	13589	65	SAMN34264238	Escherichia coli
SAMN25936503	5298361	765	6925.96	327710	200	0	0	134671	13	79842	23	25478	47	SAMN25936503	Escherichia coli
SAMN12585275	5696915	650	8764.48	312413	201	0	0	126811	15	39464	33	10208	83	SAMN12585275	Escherichia coli
SAMN14774255	5121310	245	20903.31	192279	201	0	0	66201	25	40772	45	16569	83	SAMN14774255	Escherichia coli
SAMD00495951	5217569	547	9538.52	138435	200	0	0	32670	46	19011	87	6626	179	SAMD00495951	Escherichia coli
SAMEA7608665	5411227	263	20575.01	457563	200	0	0	192702	9	111296	16	40822	30	SAMEA7608665	Escherichia coli
SAMN41330408	5028877	91	55262.38	402648	206	0	0	195786	9	101798	18	41354	33	SAMN41330408	Escherichia coli
SAMN06624394	5705736	517	11036.24	242288	200	100	1	78280	25	40512	46	9655	96	SAMN06624394	Escherichia coli
SAMN06858683	4548144	95	47875.2	396692	207	0	0	128599	11	94002	19	37744	33	SAMN06858683	Escherichia coli
SAMN30439622	4490195	537	8361.63	123490	200	0	0	29674	44	17150	84	6053	168	SAMN30439622	Escherichia coli
SAMN31521612	5338653	408	13084.93	374928	200	0	0	117530	14	61516	25	18825	53	SAMN31521612	Escherichia coli
SAMEA110355607	5045976	219	23040.99	258445	209	0	0	81280	20	53759	35	25533	61	SAMEA110355607	Escherichia coli
SAMN41444073	4562706	426	10710.58	79726	204	0	0	23385	58	14304	106	5656	202	SAMN41444073	Escherichia coli
SAMN13948682	4810003	167	28802.41	254331	209	0	0	106499	15	61683	27	23333	54	SAMN13948682	Escherichia coli
SAMN20065124	4868779	169	28809.34	560633	201	0	0	248831	7	151659	12	68533	21	SAMN20065124	Escherichia coli
SAMN12913071	5569099	573	9719.2	256769	200	0	0	118350	18	54443	30	13898	65	SAMN12913071	Escherichia coli
SAMN33354746	5415284	315	17191.38	487003	201	0	0	167767	10	88966	18	37015	37	SAMN33354746	Escherichia coli
SAMN36887223	5127853	164	31267.4	621232	200	0	0	208735	8	124798	14	34919	27	SAMN36887223	Escherichia coli
SAMN38033903	4661352	145	32147.26	268895	200	0	0	96336	15	47396	29	25170	56	SAMN38033903	Escherichia coli
SAMEA5611100	4636821	47	98655.77	912549	201	0	0	589226	4	531435	5	106030	9	SAMEA5611100	Escherichia coli
SAMEA5611824	4653227	131	35520.82	414806	207	0	0	152886	9	112139	16	38089	33	SAMEA5611824	Escherichia coli
SAMN06928087	5112724	165	30986.21	309380	205	100	1	116619	15	76602	26	31124	47	SAMN06928087	Escherichia coli
SAMN06111295	5492415	359	15299.21	290870	200	0	0	92175	18	58073	33	16412	65	SAMN06111295	Escherichia coli
SAMN14230749	5036849	421	11964.01	138822	200	0	0	37142	41	23035	75	9264	143	SAMN14230749	Escherichia coli
SAMN25598328	5621937	412	13645.48	361124	200	0	0	123930	14	66217	27	21099	57	SAMN25598328	Escherichia coli
SAMN13353195	4739199	481	9852.8	83507	204	0	0	29151	49	17550	92	7052	175	SAMN13353195	Escherichia coli
SAMEA111269502	5167883	96	53832.11	650922	201	0	0	317130	7	182950	11	62711	19	SAMEA111269502	Escherichia coli
SAMEA12816838	4667954	120	38899.62	453271	200	0	0	136609	10	79408	18	29245	36	SAMEA12816838	Escherichia coli
SAMEA104039650	5012905	71	70604.3	750011	201	0	0	336999	5	214138	9	99686	16	SAMEA104039650	Escherichia coli
SAMN27150438	5166596	105	49205.68	699989	201	0	0	336239	6	158311	12	65360	20	SAMN27150438	Escherichia coli
SAMN10075660	4359012	420	10378.6	98322	201	0	0	27824	46	16897	87	5750	169	SAMN10075660	Escherichia coli
SAMN35146659	4959122	83	59748.46	573493	209	0	0	295297	7	178995	12	83386	20	SAMN35146659	Escherichia coli
SAMN09228489	4434683	475	9336.17	98073	200	0	0	27672	48	16462	91	5475	179	SAMN09228489	Escherichia coli
SAMN19777041	4950791	90	55008.79	715678	210	0	0	389848	5	214583	8	106588	14	SAMN19777041	Escherichia coli
SAMN30414621	5189009	407	12749.41	264637	205	0	0	61931	26	35627	48	11096	100	SAMN30414621	Escherichia coli
SAMN40604418	5179403	427	12129.75	376708	208	0	0	103383	14	66702	26	20120	53	SAMN40604418	Escherichia coli
SAMN14349820	5151269	483	10665.15	254079	200	0	0	83476	22	45041	39	9962	81	SAMN14349820	Escherichia coli
SAMEA9973383	4959876	45	110219.47	2260980	223	0	0	685820	2	657736	3	139170	7	SAMEA9973383	Escherichia coli
SAMN04395987	4864118	219	22210.58	278249	202	0	0	168421	11	88258	20	32725	37	SAMN04395987	Escherichia coli
SAMEA110347736	5770541	480	12021.96	203669	200	0	0	92086	23	57035	38	14110	77	SAMEA110347736	Escherichia coli
SAMEA1317901	4812758	198	24306.86	294482	201	0	0	129451	13	76600	22	30926	43	SAMEA1317901	Escherichia coli
SAMN32025493	5444636	392	13889.38	375689	200	0	0	111197	15	68166	27	20444	56	SAMN32025493	Escherichia coli
SAMN10093613	5060042	154	32857.42	615444	203	100	1	191383	8	158989	14	34163	28	SAMN10093613	Escherichia coli
SAMN13655828	5318180	276	19268.77	487063	201	0	0	193705	9	96251	17	36953	36	SAMN13655828	Escherichia coli
SAMEA12944404	5147294	177	29080.76	378944	200	0	0	105419	14	61580	28	27082	52	SAMEA12944404	Escherichia coli
SAMN35347469	5311174	199	26689.32	783721	204	0	0	312095	5	158368	10	35877	24	SAMN35347469	Escherichia coli
SAMN17772277	4690469	619	7577.49	137297	200	0	0	27614	49	14600	95	5420	193	SAMN17772277	Escherichia coli
SAMN04558437	5501926	397	13858.76	282932	201	100	1	130425	15	54059	29	17268	61	SAMN04558437	Escherichia coli
SAMN41916939	4454316	530	8404.37	137174	200	0	0	34692	41	19749	76	5926	156	SAMN41916939	Escherichia coli
SAMEA4062185	5272890	300	17576.3	455915	202	0	0	75557	19	39181	38	13757	80	SAMEA4062185	Escherichia coli
SAMN37932489	5189091	400	12972.73	377469	200	0	0	99676	13	66969	25	25551	49	SAMN37932489	Escherichia coli
SAMN11119249	5210268	176	29603.8	448689	206	0	0	133747	13	103293	22	25671	41	SAMN11119249	Escherichia coli
SAMEA111331469	4891474	66	74113.24	682409	210	0	0	436765	5	268102	8	87014	14	SAMEA111331469	Escherichia coli
SAMN05171049	5312100	336	15809.82	191437	200	0	0	68445	25	39828	46	12175	91	SAMN05171049	Escherichia coli
SAMN39980334	5299110	187	28337.49	393753	207	0	0	166240	11	104086	19	38750	37	SAMN39980334	Escherichia coli
SAMN11853311	5564641	391	14231.82	374962	200	0	0	119586	15	55209	28	16550	61	SAMN11853311	Escherichia coli
SAMN39290645	4898062	149	32872.9	512074	200	0	0	171553	9	111243	16	41619	31	SAMN39290645	Escherichia coli
SAMN13828665	5342599	509	10496.27	140976	201	0	0	44096	34	25948	65	8781	133	SAMN13828665	Escherichia coli
SAMN36744215	5245268	312	16811.76	363933	201	0	0	122292	13	70042	25	26807	47	SAMN36744215	Escherichia coli
SAMN38800753	4759042	514	9258.84	108330	201	0	0	23371	61	14028	114	4858	220	SAMN38800753	Escherichia coli
SAMEA111351669	4553948	110	41399.53	414033	202	0	0	132633	11	78402	20	32398	39	SAMEA111351669	Escherichia coli
SAMN12904805	4556898	99	46029.27	413961	232	0	0	125001	11	82778	21	35430	38	SAMN12904805	Escherichia coli
SAMN16560079	4547080	157	28962.29	253641	212	0	0	82589	18	48745	33	19670	63	SAMN16560079	Escherichia coli
SAMN22060845	5355096	244	21947.11	427288	230	0	0	145259	12	90564	20	31049	40	SAMN22060845	Escherichia coli
SAMEA8808496	4780793	627	7624.87	108327	200	0	0	23704	58	14085	111	5020	218	SAMEA8808496	Escherichia coli
SAMEA5776939	4958154	170	29165.61	409241	221	0	0	153699	11	81063	20	30479	39	SAMEA5776939	Escherichia coli
SAMN03080579	4556777	146	31210.8	240048	209	0	0	81961	17	46440	32	28279	58	SAMN03080579	Escherichia coli
SAMN17166013	4419951	164	26950.92	202976	220	0	0	65936	23	40160	41	18788	72	SAMN17166013	Escherichia coli
SAMEA1486451	5292077	135	39200.57	480737	210	0	0	210008	8	125179	15	37198	31	SAMEA1486451	Escherichia coli
SAMN10058971	5275229	229	23035.93	345760	203	0	0	95643	14	50715	28	25691	57	SAMN10058971	Escherichia coli
SAMEA115626810	5641282	771	7316.84	96170	200	0	0	26083	66	15108	124	4434	255	SAMEA115626810	Escherichia coli
SAMN30942204	5779553	467	12375.92	338561	202	0	0	119978	15	75559	28	16795	56	SAMN30942204	Escherichia coli
SAMEA112764031	5092656	150	33951.04	708347	201	0	0	373865	5	185630	8	45507	18	SAMEA112764031	Escherichia coli
SAMEA6511040	5222221	258	20241.17	397443	204	0	0	80813	18	63805	32	26873	56	SAMEA6511040	Escherichia coli
SAMN30414314	4825163	255	18922.21	167234	200	0	0	59872	28	34499	50	17074	88	SAMN30414314	Escherichia coli
SAMN12358407	5013806	705	7111.78	87533	200	0	0	27333	55	15972	103	4925	209	SAMN12358407	Escherichia coli
SAMN27738613	5172441	156	33156.67	400377	208	0	0	127736	14	72860	25	30224	45	SAMN27738613	Escherichia coli
SAMN13918749	4698105	447	10510.3	102344	213	0	0	23987	58	14246	109	5663	208	SAMN13918749	Escherichia coli
SAMN18491658	4566681	560	8154.79	137263	200	0	0	31447	44	17906	81	5958	166	SAMN18491658	Escherichia coli
SAMEA110363104	4996168	309	16168.83	210787	200	0	0	66505	22	41442	42	16212	80	SAMEA110363104	Escherichia coli
SAMN33745233	5124495	399	12843.35	373554	208	0	0	155155	11	101557	19	28566	37	SAMN33745233	Escherichia coli
SAMEA112764319	4731222	262	18058.1	208741	200	0	0	75645	23	42870	39	16065	75	SAMEA112764319	Escherichia coli
SAMN11656309	5317972	204	26068.49	440309	205	0	0	135153	11	88154	21	35228	40	SAMN11656309	Escherichia coli
SAMN23583052	5266170	880	5984.28	119798	200	0	0	35080	50	17834	91	4722	202	SAMN23583052	Escherichia coli
SAMEA115376187	4905788	132	37165.06	676527	201	0	0	327887	6	151815	10	48641	21	SAMEA115376187	Escherichia coli
SAMEA115097170	5754226	765	7521.86	210250	200	0	0	53306	30	30244	59	7952	127	SAMEA115097170	Escherichia coli
SAMEA111330896	5252085	200	26260.42	653436	205	0	0	268657	7	138934	13	41614	26	SAMEA111330896	Escherichia coli
