sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species	HQ	hq_set
SAMN05868275	2775468	32	86733.38	1210242	220	0	0	702603	2	220762	3	84072	6	SAMN05868275	unknown	F	removed_samples
SAMEA6587189	4789587	190	25208.35	481204	210	0	0	80289	11	29806	32	10893	83	SAMEA6587189	unknown	F	removed_samples
SAMN15242866	6322722	115	54980.19	1042056	204	0	0	537188	4	257375	8	71572	18	SAMN15242866	unknown	F	removed_samples
SAMEA69731668	4012027	60	66867.12	640109	216	0	0	222284	6	143178	10	53142	20	SAMEA69731668	unknown	F	removed_samples
SAMN03479831	9766419	246	39700.89	645401	203	0	0	110431	25	79715	46	34247	82	SAMN03479831	unknown	F	removed_samples
SAMEA2275270	2275180	2283	996.57	17069	200	0	0	1840	285	851	654	357	1534	SAMEA2275270	Campylobacter_D jejuni	F	removed_samples
SAMEA2626792	4447665	189	23532.62	411252	200	0	0	113430	9	45334	22	18092	55	SAMEA2626792	unknown	F	removed_samples
SAMN08731602	10022913	137	73159.95	1379899	202	0	0	559796	7	440949	11	136371	21	SAMN08731602	unknown	F	removed_samples
SAMN41502673	3931407	123	31962.66	278053	212	0	0	81368	14	50844	26	22091	50	SAMN41502673	unknown	F	removed_samples
SAMN42034662	4822698	3014	1600.1	40789	200	0	0	6102	231	3492	438	682	971	SAMN42034662	Mycobacterium tuberculosis	F	removed_samples
SAMEA7621226	3702587	2662	1390.9	92854	203	0	0	15316	67	4957	151	328	1164	SAMEA7621226	Haemophilus influenzae	F	removed_samples
SAMN31308870	4691527	3179	1475.79	28405	200	0	0	6717	212	3580	401	362	1023	SAMN31308870	unknown	F	removed_samples
SAMN04624999	4634585	273	16976.5	207823	201	0	0	40442	34	24730	63	9786	124	SAMN04624999	unknown	F	removed_samples
SAMEA4831502	8136626	403	20190.14	604140	201	0	0	128754	13	71724	30	26592	67	SAMEA4831502	unknown	F	removed_samples
SAMN18146727	13162977	595	22122.65	580344	200	0	0	136892	24	91398	48	41726	87	SAMN18146727	unknown	F	removed_samples
SAMN34233956	3501120	1130	3098.34	19665	247	0	0	4172	268	2789	476	1591	798	SAMN34233956	Microcystis panniformis	F	removed_samples
SAMN04903921	6102926	1826	3342.24	137942	201	0	0	25250	67	11789	136	1506	398	SAMN04903921	Escherichia coli	F	removed_samples
SAMEA104156793	4931791	200	24658.96	828095	205	200	2	90419	13	57626	25	14962	56	SAMEA104156793	unknown	F	removed_samples
SAMN33769958	4716176	111	42488.07	613725	210	0	0	237749	6	148199	11	54093	22	SAMN33769958	unknown	F	removed_samples
SAMN17866092	6945988	866	8020.77	424616	205	0	0	81987	25	28204	55	2462	301	SAMN17866092	unknown	F	removed_samples
SAMEA5694342	8475325	168	50448.36	583580	200	0	0	245395	11	176042	19	88341	33	SAMEA5694342	unknown	F	removed_samples
SAMEA3304246	3068816	298	10298.04	112898	203	0	0	31604	29	20594	53	5830	106	SAMEA3304246	unknown	F	removed_samples
SAMN41390023	4380044	257	17042.97	237634	204	0	0	90267	16	50838	28	22604	51	SAMN41390023	unknown	F	removed_samples
SAMN41759782	2111065	67	31508.43	305335	206	0	0	116116	7	71479	11	34035	19	SAMN41759782	unknown	F	removed_samples
SAMEA104399762	632466	957	660.88	9827	206	0	0	865	218	536	406	318	713	SAMEA104399762	unknown	F	removed_samples
SAMN37997271	4283056	102	41990.75	555490	200	0	0	317611	5	164836	9	75882	16	SAMN37997271	unknown	F	removed_samples
SAMN06455236	2132004	245	8702.06	92508	209	0	0	21216	32	14274	55	5567	103	SAMN06455236	UBA1240 sp002308875	F	removed_samples
SAMEA4040862	8668482	897	9663.86	229858	200	100	1	55975	45	19394	97	3662	325	SAMEA4040862	unknown	F	removed_samples
SAMEA7457121	8640560	10045	860.19	91352	200	0	0	1792	868	730	2470	283	6327	SAMEA7457121	Escherichia coli	F	removed_samples
SAMN41336031	2995848	27	110957.33	708104	212	0	0	642792	3	505677	4	350117	5	SAMN41336031	unknown	F	removed_samples
SAMEA6107522	5510862	181	30446.75	711327	203	0	0	302232	6	165779	11	55636	22	SAMEA6107522	unknown	F	removed_samples
SAMN09492795	5102544	227	22478.17	349377	203	0	0	149766	12	104339	20	44695	33	SAMN09492795	unknown	F	removed_samples
SAMEA3214752	2827963	150	18853.09	236683	203	0	0	122101	10	57571	16	34844	29	SAMEA3214752	unknown	F	removed_samples
SAMN14908349	3718443	27	137720.11	1346363	223	0	0	1164202	2	499696	3	169161	5	SAMN14908349	unknown	F	removed_samples
SAMN09232775	1972176	989	1994.11	18662	343	0	0	2549	244	1710	432	974	736	SAMN09232775	unknown	F	removed_samples
SAMN08886258	1387399	55	25225.44	359741	202	0	0	127134	3	55193	7	14079	18	SAMN08886258	AG-363-O15 sp003278255	F	removed_samples
SAMEA7552915	4407765	283	15575.14	242117	200	0	0	60687	21	39366	39	16641	72	SAMEA7552915	unknown	F	removed_samples
SAMN42378617	8514752	564	15097.08	543584	217	0	0	99328	16	27420	53	6843	183	SAMN42378617	unknown	F	removed_samples
SAMEA110666152	3675446	93	39520.92	561041	204	0	0	173906	7	118434	13	43593	23	SAMEA110666152	unknown	F	removed_samples
SAMEA8989264	3957446	1679	2357.03	18312	200	0	0	3199	385	2117	689	1198	1179	SAMEA8989264	Mycobacterium tuberculosis	F	removed_samples
SAMN41498577	7457790	196	38049.95	348803	206	0	0	89733	24	51645	46	21360	92	SAMN41498577	unknown	F	removed_samples
SAMN09387930	4928276	334	14755.32	493593	208	0	0	253065	7	154308	12	81165	21	SAMN09387930	unknown	F	removed_samples
SAMEA7530167	8494566	369	23020.5	439387	202	0	0	172657	17	84881	31	13529	77	SAMEA7530167	unknown	F	removed_samples
SAMEA4831524	10340633	4756	2174.23	288054	200	0	0	42708	54	6660	170	816	1175	SAMEA4831524	unknown	F	removed_samples
SAMN07658337	4309087	151	28537.0	179514	204	0	0	69830	21	44607	37	19338	62	SAMN07658337	unknown	F	removed_samples
SAMN36376956	2663161	1802	1477.89	46573	200	0	0	6059	115	3235	233	325	712	SAMN36376956	Neisseria gonorrhoeae	F	removed_samples
SAMN33240006	2743489	103	26635.82	408540	215	0	0	134143	6	100434	10	47941	19	SAMN33240006	unknown	F	removed_samples
SAMEA1462727	2843288	94	30247.74	277968	203	0	0	73039	10	50275	19	23766	35	SAMEA1462727	unknown	F	removed_samples
SAMEA9202816	11933946	262	45549.41	2281170	200	0	0	193712	10	90501	29	29941	74	SAMEA9202816	unknown	F	removed_samples
SAMN41139548	2077955	79	26303.23	203189	203	0	0	126619	7	70861	11	48612	18	SAMN41139548	unknown	F	removed_samples
SAMN00690845	1976036	441	4480.81	44493	207	0	0	9562	55	5419	113	2116	225	SAMN00690845	Enterococcus_B faecium	F	removed_samples
SAMN18436036	5344123	238	22454.3	237656	204	0	0	111922	16	57910	30	19028	60	SAMN18436036	unknown	F	removed_samples
SAMN02782385	1806357	1022	1767.47	11157	300	0	0	2174	270	1499	472	909	778	SAMN02782385	Salmonella enterica	F	removed_samples
SAMEA4831514	2441073	269	9074.62	75026	205	0	0	26804	28	13772	54	4586	114	SAMEA4831514	Streptococcus pneumoniae	F	removed_samples
SAMN05780998	6939094	277	25050.88	227315	212	0	0	84468	28	47957	50	14903	100	SAMN05780998	unknown	F	removed_samples
SAMN26366815	8829860	739	11948.39	692170	205	0	0	186888	12	12455	67	4460	313	SAMN26366815	unknown	F	removed_samples
SAMN22963456	8839294	983	8992.16	141269	203	0	0	25201	84	12635	184	3864	443	SAMN22963456	unknown	F	removed_samples
SAMN07658359	9806785	1894	5177.82	654800	211	0	0	56202	27	5415	246	1942	848	SAMN07658359	unknown	F	removed_samples
SAMN09207750	1842898	2211	833.51	9475	215	0	0	1043	547	738	967	404	1623	SAMN09207750	Listeria monocytogenes	F	removed_samples
SAMEA8610823	14039734	602	23321.82	398909	202	0	0	44949	85	27745	162	12778	303	SAMEA8610823	unknown	F	removed_samples
SAMN31673668	4437380	335	13245.91	123976	200	0	0	30652	47	19962	83	8847	147	SAMN31673668	Mycobacterium tuberculosis	F	removed_samples
SAMN41339742	2960627	248	11938.01	176071	210	0	0	32359	23	18960	46	6034	98	SAMN41339742	Bifidobacterium pseudocatenulatum	F	removed_samples
SAMEA4623320	7341327	102	71973.79	1048451	206	0	0	251685	7	124769	15	48847	32	SAMEA4623320	unknown	F	removed_samples
SAMN10966224	6040553	2552	2366.99	76013	201	0	0	6722	228	2895	500	701	1429	SAMN10966224	Salmonella enterica	F	removed_samples
SAMD00065941	1285778	10	128577.8	938025	212	0	0	938025	1	938025	1	255001	2	SAMD00065941	unknown	F	removed_samples
SAMEA6500579	2564130	408	6284.63	163643	200	0	0	29245	22	19201	42	4690	88	SAMEA6500579	unknown	F	removed_samples
SAMN30525329	3789264	61	62119.08	393223	206	0	0	177133	8	119339	13	57499	23	SAMN30525329	unknown	F	removed_samples
SAMEA3649804	5422274	164	33062.65	378608	221	0	0	159981	11	103944	20	29823	36	SAMEA3649804	unknown	F	removed_samples
SAMN11268425	2906696	726	4003.71	37097	255	0	0	5816	157	3764	280	1847	498	SAMN11268425	unknown	F	removed_samples
SAMEA115829893	6906698	5807	1189.37	46540	200	0	0	2298	669	1184	1510	423	3484	SAMEA115829893	unknown	F	removed_samples
SAMN25999721	3979356	33	120586.55	895939	203	0	0	436449	3	368780	5	271903	8	SAMN25999721	unknown	F	removed_samples
SAMEA7559888	4423208	404	10948.53	119774	203	0	0	30778	40	20496	75	9186	135	SAMEA7559888	unknown	F	removed_samples
SAMEA104317851	3087516	157	19665.71	291138	248	0	0	133576	9	77701	15	22209	29	SAMEA104317851	unknown	F	removed_samples
SAMEA1530744	4376866	114	38393.56	292382	200	0	0	110957	13	92059	22	38841	36	SAMEA1530744	unknown	F	removed_samples
SAMEA115708953	3032102	302	10040.07	72672	200	0	0	24432	39	16329	69	7123	124	SAMEA115708953	Enterococcus_B faecium	F	removed_samples
SAMN37847937	9222388	287	32133.76	267618	204	0	0	77020	38	49401	67	23858	120	SAMN37847937	unknown	F	removed_samples
SAMEA5378705	6789994	182	37307.66	377381	207	0	0	148507	15	94960	26	31472	52	SAMEA5378705	unknown	F	removed_samples
SAMEA7588913	13027156	430	30295.71	648408	201	0	0	224102	21	141060	37	54825	64	SAMEA7588913	unknown	F	removed_samples
SAMN02745599	2072236	199	10413.25	133479	208	0	0	65780	11	29299	21	9180	45	SAMN02745599	GCA-2722105 sp913045415	F	removed_samples
SAMN32961147	6070288	134	45300.66	551425	204	0	0	232067	9	166540	16	60591	28	SAMN32961147	unknown	F	removed_samples
SAMN05980587	6039383	4379	1379.17	38589	200	0	0	3223	455	1566	985	431	2530	SAMN05980587	Escherichia coli	F	removed_samples
SAMN41581133	4414077	169	26118.8	197421	200	0	0	86741	19	55834	32	25400	54	SAMN41581133	unknown	F	removed_samples
SAMN09257959	4766639	186	25627.09	272272	203	0	0	75156	22	41913	39	21221	70	SAMN09257959	unknown	F	removed_samples
SAMEA5192000	4324381	134	32271.5	965994	200	0	0	188301	4	101196	11	32220	26	SAMEA5192000	unknown	F	removed_samples
SAMN03702826	340393	57	5971.81	37730	436	0	0	7992	12	5336	23	3414	39	SAMN03702826	Salmonella enterica	F	removed_samples
SAMEA104156963	2169870	109	19907.06	347756	200	0	0	101317	5	67773	10	25903	19	SAMEA104156963	unknown	F	removed_samples
SAMEA5379069	5673994	138	41115.9	723238	205	0	0	336189	6	238318	10	99424	17	SAMEA5379069	unknown	F	removed_samples
SAMN29907167	6336872	8475	747.71	63005	200	0	0	1010	1567	636	3149	318	5894	SAMN29907167	Salmonella enterica	F	removed_samples
SAMEA8204060	4098990	290	14134.45	681576	215	0	0	198903	6	163667	11	26916	21	SAMEA8204060	unknown	F	removed_samples
SAMEA8724421	6264708	2124	2949.49	563939	200	0	0	4814	118	2490	488	1157	1200	SAMEA8724421	unknown	F	removed_samples
SAMEA7622568	1892014	57	33193.23	468359	207	0	0	159507	4	132151	6	90666	10	SAMEA7622568	unknown	F	removed_samples
SAMN04958361	3170596	2724	1163.95	16638	200	0	0	2431	363	1393	708	421	1537	SAMN04958361	Listeria monocytogenes_B	F	removed_samples
SAMN09225475	8239504	7082	1163.44	68523	200	0	0	2340	686	1019	1761	390	4478	SAMN09225475	Escherichia coli	F	removed_samples
SAMEA79004668	3112756	302	10307.14	113815	212	0	0	31748	30	18938	54	6049	108	SAMEA79004668	unknown	F	removed_samples
SAMN12603745	1823025	330	5524.32	148195	218	0	0	58171	11	29922	20	3400	51	SAMN12603745	unknown	F	removed_samples
SAMN14832355	4971085	445	11170.98	82852	401	0	0	18343	79	10805	151	5659	276	SAMN14832355	Pseudomonas_E alloputida	F	removed_samples
SAMN35774746	2253904	3327	677.46	5106	200	0	0	714	1030	555	1750	426	2678	SAMN35774746	Mycobacterium leprae	F	removed_samples
SAMN03480023	9305481	436	21342.85	662396	211	0	0	67960	28	29932	74	11385	163	SAMN03480023	unknown	F	removed_samples
SAMEA6142707	4726500	537	8801.68	66124	384	0	0	19583	76	12264	137	5407	251	SAMEA6142707	unknown	F	removed_samples
SAMN16453407	1134933	384	2955.55	20661	211	0	0	4338	89	2829	155	1480	262	SAMN16453407	Haemophilus influenzae	F	removed_samples
SAMEA110024128	9812559	340	28860.47	491701	201	0	0	145032	23	73784	43	27543	83	SAMEA110024128	Mycobacterium tuberculosis	F	removed_samples
SAMN11268576	3290984	823	3998.77	62327	209	0	0	8214	98	4661	203	1910	421	SAMN11268576	unknown	F	removed_samples
SAMEA14370188	10223823	220	46471.92	1305056	200	0	0	251974	12	145758	22	60842	44	SAMEA14370188	unknown	F	removed_samples
SAMN26366697	5775843	605	9546.85	1160144	201	0	0	381728	4	210585	8	66401	18	SAMN26366697	unknown	F	removed_samples
SAMEA114440178	5157602	388	13292.79	489075	209	0	0	153754	11	97960	19	42932	34	SAMEA114440178	unknown	F	removed_samples
SAMN41594337	2316677	31	74731.52	456082	220	0	0	232359	4	157330	6	114648	10	SAMN41594337	unknown	F	removed_samples
SAMN11847339	4953362	905	5473.33	159928	201	0	0	17153	72	7673	161	2562	386	SAMN11847339	unknown	F	removed_samples
SAMEA115129407	8125224	180	45140.13	347290	220	0	0	113286	22	67019	41	30587	75	SAMEA115129407	unknown	F	removed_samples
SAMEA8999909	4935633	369	13375.7	150194	201	0	0	43158	40	27767	67	11050	122	SAMEA8999909	unknown	F	removed_samples
SAMEA104164132	192481	838	229.69	601	200	0	0	227	387	216	561	206	743	SAMEA104164132	unknown	F	removed_samples
SAMN04858634	7065017	233	30321.96	784189	200	0	0	228386	7	47993	21	11743	83	SAMN04858634	unknown	F	removed_samples
SAMN08162479	5206077	142	36662.51	430964	209	200	2	188116	10	122885	17	50459	28	SAMN08162479	unknown	F	removed_samples
SAMN41421173	9412893	625	15060.63	206792	201	0	0	29326	79	16757	165	6910	336	SAMN41421173	unknown	F	removed_samples
SAMEA110354147	7029227	1242	5659.6	168838	202	0	0	20693	76	9162	179	2133	483	SAMEA110354147	unknown	F	removed_samples
SAMD00030629	1805510	36	50153.06	689287	251	0	0	122984	3	67789	6	50236	12	SAMD00030629	unknown	F	removed_samples
SAMEA104352079	4952558	142	34877.17	404581	209	0	0	188109	9	105533	16	55749	28	SAMEA104352079	unknown	F	removed_samples
SAMN19776869	5051971	162	31185.01	411261	204	0	0	131267	13	97211	22	41694	36	SAMN19776869	Escherichia coli	F	removed_samples
SAMN28538002	4418643	173	25541.29	230214	220	0	0	87723	18	61252	30	27378	50	SAMN28538002	unknown	F	removed_samples
SAMN06294834	3898290	1893	2059.32	27708	207	0	0	2878	381	1738	737	911	1350	SAMN06294834	Salmonella enterica	F	removed_samples
SAMEA10427794	2088870	77	27128.18	357800	201	0	0	105207	6	74968	11	33723	18	SAMEA10427794	unknown	F	removed_samples
SAMN05781001	7247204	283	25608.49	262580	212	0	0	89221	26	48055	48	14751	101	SAMN05781001	unknown	F	removed_samples
SAMN20573962	3127857	423	7394.46	118728	201	0	0	25925	31	15638	62	4420	132	SAMN20573962	unknown	F	removed_samples
SAMN04545218	1660577	55	30192.31	158602	202	0	0	100424	7	51723	12	22901	20	SAMN04545218	unknown	F	removed_samples
SAMEA3208663	4018825	2068	1943.34	39946	200	0	0	5192	189	2595	408	629	1028	SAMEA3208663	unknown	F	removed_samples
SAMEA4658727	2138206	77	27768.91	353281	201	0	0	114871	7	68705	12	31242	21	SAMEA4658727	unknown	F	removed_samples
SAMN05750743	5289368	236	22412.58	295624	200	0	0	112452	15	71027	27	23507	53	SAMN05750743	unknown	F	removed_samples
SAMEA104694331	8950599	447	20023.71	453291	200	0	0	80947	36	47708	66	19319	123	SAMEA104694331	unknown	F	removed_samples
SAMN20708480	168117	3	56039.0	167077	461	0	0	167077	1	167077	1	167077	1	SAMN20708480	Escherichia coli	F	removed_samples
SAMN26000044	4101472	44	93215.27	1246900	201	0	0	437525	3	267612	6	210823	9	SAMN26000044	unknown	F	removed_samples
SAMN41641494	2845626	259	10986.97	121354	215	0	0	25891	36	16027	65	7697	113	SAMN41641494	unknown	F	removed_samples
SAMEA3317825	3958910	113	35034.6	374247	205	0	0	144889	11	82729	18	25931	34	SAMEA3317825	unknown	F	removed_samples
SAMN12599928	6939492	828	8381.03	415068	200	0	0	73134	23	16023	61	2829	305	SAMN12599928	unknown	F	removed_samples
SAMN09384968	4559053	701	6503.64	121660	216	0	0	12108	72	5704	188	2734	419	SAMN09384968	unknown	F	removed_samples
SAMN38637724	8081515	2556	3161.78	363458	200	0	0	104451	23	67148	43	12217	93	SAMN38637724	unknown	F	removed_samples
SAMEA8610407	2714366	117	23199.71	499284	223	0	0	391568	3	239357	5	8411	20	SAMEA8610407	unknown	F	removed_samples
SAMEA7564383	7753950	1273	6091.08	127137	202	0	0	12090	124	5565	324	2406	748	SAMEA7564383	unknown	F	removed_samples
SAMN09396953	9603350	690	13917.9	318103	215	0	0	37437	57	17260	132	6494	311	SAMN09396953	unknown	F	removed_samples
SAMN21616880	4356315	166	26242.86	222691	207	0	0	76663	19	41810	35	19764	63	SAMN21616880	unknown	F	removed_samples
SAMEA8989209	4096778	1823	2247.27	17728	202	0	0	3378	362	2196	665	1089	1186	SAMEA8989209	Mycobacterium tuberculosis	F	removed_samples
SAMEA9425753	4362982	691	6314.01	66198	200	0	0	17259	79	11101	142	4158	265	SAMEA9425753	unknown	F	removed_samples
SAMN41327923	2224856	43	51740.84	1106494	215	0	0	352807	2	246550	3	110596	5	SAMN41327923	unknown	F	removed_samples
SAMN30380935	6263581	362	17302.71	201953	219	0	0	59241	32	28536	63	12872	128	SAMN30380935	unknown	F	removed_samples
SAMEA3304295	2984875	203	14703.82	154314	200	0	0	36706	20	21547	41	8471	81	SAMEA3304295	unknown	F	removed_samples
SAMN41332435	2661241	229	11621.14	184065	216	0	0	28631	26	16765	51	5680	102	SAMN41332435	unknown	F	removed_samples
SAMN22442606	9544721	1016	9394.41	112561	200	0	0	24439	110	14517	212	5608	409	SAMN22442606	unknown	F	removed_samples
SAMN20834179	6213053	449	13837.53	1732032	201	0	0	486886	3	360055	6	41820	14	SAMN20834179	unknown	F	removed_samples
SAMEA4441530	228424	484	471.95	3258	205	0	0	482	148	370	258	285	399	SAMEA4441530	Mycobacterium tuberculosis	F	removed_samples
SAMEA115113303	2792910	41	68119.76	635227	206	0	0	198986	4	125023	7	72072	13	SAMEA115113303	unknown	F	removed_samples
SAMN03466552	9710553	375	25894.81	449864	204	0	0	122637	26	60720	49	21069	103	SAMN03466552	unknown	F	removed_samples
SAMEA7456940	7369375	326	22605.44	361188	200	0	0	134968	18	92105	31	32808	56	SAMEA7456940	unknown	F	removed_samples
SAMEA7297245	392425	534	734.88	11602	200	0	0	753	126	548	249	423	413	SAMEA7297245	Orientia tsutsugamushi	F	removed_samples
SAMEA1557167	2802185	67	41823.66	298864	222	0	0	107443	8	80241	14	36486	25	SAMEA1557167	unknown	F	removed_samples
SAMEA4831688	2535177	233	10880.59	140469	203	0	0	41908	20	20959	37	6380	76	SAMEA4831688	unknown	F	removed_samples
SAMN41685599	4438141	319	13912.67	114705	202	0	0	38858	37	23312	67	9505	124	SAMN41685599	unknown	F	removed_samples
SAMN03573880	4676816	1807	2588.17	26459	202	0	0	4107	345	2644	625	1220	1125	SAMN03573880	Bacillus subtilis	F	removed_samples
SAMN41416717	3457787	73	47366.95	347175	201	0	0	108217	10	52628	18	24669	35	SAMN41416717	unknown	F	removed_samples
SAMN04917389	1947038	545	3572.55	50873	200	0	0	19706	30	9902	58	1934	136	SAMN04917389	unknown	F	removed_samples
SAMEA104305331	10201725	523	19506.17	446293	230	0	0	92926	30	42261	64	9599	159	SAMEA104305331	unknown	F	removed_samples
SAMEA1569419	4007780	67	59817.61	364274	209	0	0	171816	8	111034	14	43853	25	SAMEA1569419	unknown	F	removed_samples
SAMEA7546512	4057716	1350	3005.72	21603	217	0	0	5143	228	3058	431	1355	820	SAMEA7546512	Mycobacterium tuberculosis	F	removed_samples
SAMEA110347588	6778031	220	30809.23	504585	220	0	0	172973	10	85988	20	21568	55	SAMEA110347588	unknown	F	removed_samples
SAMEA4832005	11760256	679	17319.96	244556	200	0	0	68229	49	47919	90	20291	165	SAMEA4832005	unknown	F	removed_samples
SAMN11268615	1955928	893	2190.29	34738	200	0	0	7070	76	2811	165	774	447	SAMN11268615	unknown	F	removed_samples
SAMN33941004	4238132	34	124650.94	1065413	210	0	0	1021163	3	1021163	3	287029	5	SAMN33941004	unknown	F	removed_samples
SAMEA4780983	5346083	57	93790.93	1091438	208	0	0	824672	3	338057	6	112879	10	SAMEA4780983	unknown	F	removed_samples
SAMN28606483	4842524	180	26902.91	385560	207	0	0	130426	12	94148	20	36755	34	SAMN28606483	unknown	F	removed_samples
SAMN02923774	1823562	305	5978.89	41948	200	0	0	17407	35	10166	61	2815	127	SAMN02923774	unknown	F	removed_samples
SAMN00102876	1900048	4201	452.28	8676	200	0	0	475	1270	366	2184	268	3399	SAMN00102876	unknown	F	removed_samples
SAMN34996524	1332591	34	39193.85	297659	200	0	0	149069	3	118667	5	61448	8	SAMN34996524	unknown	F	removed_samples
SAMN42034784	4447146	231	19251.71	204740	202	0	0	94442	18	61256	30	26616	52	SAMN42034784	unknown	F	removed_samples
SAMEA6063594	4359127	155	28123.4	242524	252	0	0	66173	18	49814	33	20022	59	SAMEA6063594	unknown	F	removed_samples
SAMEA104314863	2882666	17	169568.59	1267819	238	0	0	435016	2	375902	3	117536	7	SAMEA104314863	unknown	F	removed_samples
SAMEA111271720	5417628	253	21413.55	301800	215	0	0	104043	17	46198	33	19078	68	SAMEA111271720	unknown	F	removed_samples
SAMN24020354	5127494	1604	3196.69	40345	221	0	0	4612	303	2974	578	1552	1044	SAMN24020354	Klebsiella pneumoniae	F	removed_samples
SAMEA112879665	5895952	1209	4876.72	490362	201	0	0	180181	10	86592	20	1212	352	SAMEA112879665	unknown	F	removed_samples
SAMN41335602	4051493	173	23419.03	444085	205	0	0	86151	14	31927	31	12285	72	SAMN41335602	unknown	F	removed_samples
SAMEA115708351	3308395	378	8752.37	110194	200	0	0	31608	30	17351	57	4072	133	SAMEA115708351	Enterococcus_B faecium	F	removed_samples
SAMN41498579	9780127	771	12684.99	152338	201	0	0	35412	85	23073	153	9817	278	SAMN41498579	unknown	F	removed_samples
SAMEA8900777	5027952	2350	2139.55	57116	201	0	0	8555	154	4149	327	813	829	SAMEA8900777	Escherichia coli	F	removed_samples
SAMN21037163	5466038	248	22040.48	296650	203	0	0	159539	13	106301	21	31709	40	SAMN21037163	unknown	F	removed_samples
SAMN05290038	6447207	688	9370.94	133864	200	0	0	38438	52	24947	94	10268	175	SAMN05290038	Borreliella burgdorferi	F	removed_samples
SAMN04388570	5858256	1343	4362.07	111541	200	0	0	18306	99	11316	181	4078	339	SAMN04388570	Escherichia coli	F	removed_samples
SAMN07708565	5297928	400	13244.82	375423	204	0	0	111386	15	61615	29	19737	58	SAMN07708565	unknown	F	removed_samples
SAMN22962667	10788442	3811	2830.87	185181	200	0	0	15320	126	4776	397	1062	1397	SAMN22962667	unknown	F	removed_samples
SAMEA3317731	4241628	293	14476.55	243717	200	0	0	45586	27	27365	51	9806	101	SAMEA3317731	unknown	F	removed_samples
SAMEA104446935	5115877	2171	2356.46	29369	200	0	0	5068	291	3048	549	1160	1067	SAMEA104446935	Mycobacterium tuberculosis	F	removed_samples
SAMN06314721	469288	88	5332.82	45305	200	0	0	12948	10	7851	19	3534	37	SAMN06314721	unknown	F	removed_samples
SAMD00254127	154746	51	3034.24	41810	441	0	0	15631	3	4325	6	724	28	SAMD00254127	unknown	F	removed_samples
SAMN29625174	4866733	529	9199.87	138118	200	0	0	40916	40	25786	70	10463	128	SAMN29625174	Escherichia coli	F	removed_samples
SAMEA7577812	5087076	473	10754.92	157571	200	0	0	43213	35	28383	64	9914	126	SAMEA7577812	unknown	F	removed_samples
SAMN13829702	5143533	250	20574.13	661657	201	0	0	140011	11	92218	20	23213	44	SAMN13829702	unknown	F	removed_samples
SAMEA5803252	4878068	3064	1592.06	106749	201	0	0	10171	100	3892	255	424	1290	SAMEA5803252	unknown	F	removed_samples
SAMEA7549734	4366010	273	15992.71	125612	200	0	0	44963	32	27306	57	12000	105	SAMEA7549734	unknown	F	removed_samples
SAMN23578012	6027413	2726	2211.08	40404	200	0	0	6080	290	3225	557	678	1308	SAMN23578012	Salmonella enterica	F	removed_samples
SAMEA4892959	5885081	115	51174.62	711957	222	0	0	203581	8	126322	16	51044	30	SAMEA4892959	unknown	F	removed_samples
SAMN41341799	6893941	179	38513.64	327413	201	0	0	108264	19	65620	35	28080	64	SAMN41341799	Bacteroides ovatus	F	removed_samples
SAMN01908901	4355136	124	35122.06	229999	203	0	0	96003	16	63009	28	35145	46	SAMN01908901	unknown	F	removed_samples
SAMEA115419177	2155315	790	2728.25	28509	223	0	0	5655	106	3265	203	990	437	SAMEA115419177	unknown	F	removed_samples
SAMEA7588795	13078469	962	13595.08	521225	200	0	0	84873	47	48334	87	16471	174	SAMEA7588795	Staphylococcus epidermidis	F	removed_samples
SAMN18117916	4383969	140	31314.06	295609	216	0	0	101976	14	72554	24	36835	40	SAMN18117916	unknown	F	removed_samples
SAMEA698228	2759270	135	20439.04	169237	200	0	0	42280	20	29297	36	14186	63	SAMEA698228	unknown	F	removed_samples
SAMN11095733	4788749	55	87068.16	749936	204	0	0	381884	5	213833	9	89035	16	SAMN11095733	unknown	F	removed_samples
SAMEA6543340	2579846	225	11465.98	78662	204	0	0	38461	26	20255	44	6091	87	SAMEA6543340	unknown	F	removed_samples
SAMEA104446944	5178527	1017	5091.96	53632	201	0	0	10480	153	6229	283	2668	524	SAMEA104446944	Mycobacterium tuberculosis	F	removed_samples
SAMEA6107560	9536190	6723	1418.44	62274	200	0	0	3806	527	1387	1360	526	3796	SAMEA6107560	Escherichia coli	F	removed_samples
SAMEA4620495	3751748	67	55996.24	529449	202	0	0	239787	5	125197	9	64510	16	SAMEA4620495	unknown	F	removed_samples
SAMEA3304231	3042752	190	16014.48	141168	200	0	0	52276	19	26852	35	10898	69	SAMEA3304231	unknown	F	removed_samples
SAMN05965616	9087301	425	21381.88	260330	202	0	0	92631	34	55429	58	20824	108	SAMN05965616	unknown	F	removed_samples
SAMN03791088	1706915	45	37931.44	246350	219	0	0	80516	6	57909	10	24384	19	SAMN03791088	unknown	F	removed_samples
SAMN28743873	2060644	2026	1017.1	23108	205	0	0	1239	483	830	887	498	1523	SAMN28743873	Staphylococcus aureus	F	removed_samples
SAMN41328302	8160455	336	24287.07	480587	215	0	0	88858	26	56321	49	19561	93	SAMN41328302	unknown	F	removed_samples
SAMEA4781828	5715968	149	38362.2	434110	200	0	0	198624	10	160359	17	48185	30	SAMEA4781828	unknown	F	removed_samples
